"","Samples","class"
"143","GFPneg.SI1.Singlet.2.C7.htseq","SI.Early.Enterocyte"
"357","SRR5102652.A01.htseq","SI.Enterocyte.Progenitor"
"422","SRR5102802.A01.htseq","SI.Enteroendocrine"
"1752","GFPneg.C1.Singlet.4.C5.htseq","C.Stem"
"1073","SRR5103037.A01.htseq","SI.Stem"
"1837","SRR5102916.A01.htseq","SI.Tuft.Cells"
"1074","SRR5102879.A01.htseq","SI.Stem"
"683","SRR5103361.A01.htseq","SI.Paneth"
"358","SRR5102405.A01.htseq","SI.Enterocyte.Progenitor"
"1838","SRR5103465.A01.htseq","SI.Tuft.Cells"
"1513","SRR5102703.A01.htseq","SI.TA.Cells"
"539","SRR5103297.A01.htseq","SI.Goblet"
"540","SRR5103654.A01.htseq","SI.Goblet"
"1839","SRR5103268.A01.htseq","SI.Tuft.Cells"
"1514","SRR5103696.A01.htseq","SI.TA.Cells"
"1075","SRR5103240.A01.htseq","SI.Stem"
"1840","SRR5102913.A01.htseq","SI.Tuft.Cells"
"423","GFPneg.SI1.Singlet.2.G3.htseq","SI.Enteroendocrine"
"541","SRR5103669.A01.htseq","SI.Goblet"
"359","SRR5103781.A01.htseq","SI.Enterocyte.Progenitor"
"1515","SRR5102071.A01.htseq","SI.TA.Cells"
"1076","SRR5103723.A01.htseq","SI.Stem"
"542","SRR5103675.A01.htseq","SI.Goblet"
"424","SRR5102447.A01.htseq","SI.Enteroendocrine"
"1516","SRR5103048.A01.htseq","SI.TA.Cells"
"360","SRR5103633.A01.htseq","SI.Enterocyte.Progenitor"
"361","SRR5102454.A01.htseq","SI.Enterocyte.Progenitor"
"1077","SRR5103543.A01.htseq","SI.Stem"
"1517","SRR5102968.A01.htseq","SI.TA.Cells"
"1078","SRR5102953.A01.htseq","SI.Stem"
"1079","SRR5102568.A01.htseq","SI.Stem"
"144","SRR5103321.A01.htseq","SI.Early.Enterocyte"
"1080","SRR5103104.A01.htseq","SI.Stem"
"1518","SRR5103827.A01.htseq","SI.TA.Cells"
"145","SRR5103520.A01.htseq","SI.Early.Enterocyte"
"1081","SRR5103402.A01.htseq","SI.Stem"
"1082","SRR5103431.A01.htseq","SI.Stem"
"1519","SRR5102943.A01.htseq","SI.TA.Cells"
"621","GFPneg.SI1.Singlet.2.C8.htseq","SI.Late.Enterocyte"
"362","GFPneg.SI1.Singlet.2.E4.htseq","SI.Enterocyte.Progenitor"
"1841","SRR5103271.A01.htseq","SI.Tuft.Cells"
"425","SRR5103838.A01.htseq","SI.Enteroendocrine"
"1520","SRR5103608.A01.htseq","SI.TA.Cells"
"1521","SRR5102046.A01.htseq","SI.TA.Cells"
"1083","SRR5103864.A01.htseq","SI.Stem"
"1522","SRR5102058.A01.htseq","SI.TA.Cells"
"543","GFPneg.SI1.Singlet.2.G6.htseq","SI.Goblet"
"1523","SRR5102627.A01.htseq","SI.TA.Cells"
"1753","GFPneg.C1.Singlet.4.E5.htseq","C.Stem"
"1842","SRR5102471.A01.htseq","SI.Tuft.Cells"
"1084","SRR5102595.A01.htseq","SI.Stem"
"622","GFPneg.SI1.Singlet.2.C2.htseq","SI.Late.Enterocyte"
"1085","SRR5103200.A01.htseq","SI.Stem"
"544","SRR5103320.A01.htseq","SI.Goblet"
"1086","SRR5103043.A01.htseq","SI.Stem"
"1524","NJA00104.H01.htseq","SI.TA.Cells"
"1693","GFPneg.C1.Singlet.4.B1.htseq","C.Goblet"
"1087","SRR5102578.A01.htseq","SI.Stem"
"146","SRR5103180.A01.htseq","SI.Early.Enterocyte"
"1525","SRR5103435.A01.htseq","SI.TA.Cells"
"426","SRR5102534.A01.htseq","SI.Enteroendocrine"
"1088","SRR5103082.A01.htseq","SI.Stem"
"623","NJA00104.B09.htseq","SI.Late.Enterocyte"
"545","SRR5103005.A01.htseq","SI.Goblet"
"1651","NJA00109.E11.htseq","C.Colonocytes"
"363","SRR5103052.A01.htseq","SI.Enterocyte.Progenitor"
"1526","SRR5103095.A01.htseq","SI.TA.Cells"
"1527","SRR5102446.A01.htseq","SI.TA.Cells"
"624","NJA00102.G09.htseq","SI.Late.Enterocyte"
"1089","SRR5102733.A01.htseq","SI.Stem"
"1528","SRR5102707.A01.htseq","SI.TA.Cells"
"1090","SRR5103808.A01.htseq","SI.Stem"
"546","SRR5103828.A01.htseq","SI.Goblet"
"1529","SRR5102748.A01.htseq","SI.TA.Cells"
"147","SRR5103349.A01.htseq","SI.Early.Enterocyte"
"1530","SRR5103568.A01.htseq","SI.TA.Cells"
"148","SRR5103205.A01.htseq","SI.Early.Enterocyte"
"547","SRR5103097.A01.htseq","SI.Goblet"
"1885","GFPneg.SI1.Singlet.2.C6.htseq","Blood.Cells"
"364","SRR5103006.A01.htseq","SI.Enterocyte.Progenitor"
"1531","SRR5103534.A01.htseq","SI.TA.Cells"
"149","SRR5102508.A01.htseq","SI.Early.Enterocyte"
"150","SRR5103146.A01.htseq","SI.Early.Enterocyte"
"1532","SRR5103576.A01.htseq","SI.TA.Cells"
"1091","SRR5102459.A01.htseq","SI.Stem"
"548","GFPneg.SI1.Singlet.2.A7.htseq","SI.Goblet"
"625","SRR5103303.A01.htseq","SI.Late.Enterocyte"
"549","SRR5102509.A01.htseq","SI.Goblet"
"151","SRR5103851.A01.htseq","SI.Early.Enterocyte"
"1092","SRR5102721.A01.htseq","SI.Stem"
"365","SRR5103856.A01.htseq","SI.Enterocyte.Progenitor"
"1533","SRR5103403.A01.htseq","SI.TA.Cells"
"427","SRR5103850.A01.htseq","SI.Enteroendocrine"
"1534","SRR5102714.A01.htseq","SI.TA.Cells"
"1093","SRR5103112.A01.htseq","SI.Stem"
"366","SRR5102614.A01.htseq","SI.Enterocyte.Progenitor"
"1652","GFPneg.C1.Singlet.4.F1.htseq","C.Colonocytes"
"1094","SRR5103378.A01.htseq","SI.Stem"
"1535","SRR5103565.A01.htseq","SI.TA.Cells"
"1536","SRR5102656.A01.htseq","SI.TA.Cells"
"1537","SRR5102950.A01.htseq","SI.TA.Cells"
"1886","NJA00102.G10.htseq","Blood.Cells"
"1754","GFPpos.C1.Singlet.4.D7.htseq","C.Stem"
"1095","SRR5102553.A01.htseq","SI.Stem"
"1096","SRR5103400.A01.htseq","SI.Stem"
"626","SRR5102396.A01.htseq","SI.Late.Enterocyte"
"1538","SRR5102351.A01.htseq","SI.TA.Cells"
"1539","SRR5102977.A01.htseq","SI.TA.Cells"
"1097","SRR5103822.A01.htseq","SI.Stem"
"1098","SRR5102922.A01.htseq","SI.Stem"
"1843","SRR5103461.A01.htseq","SI.Tuft.Cells"
"1540","SRR5103127.A01.htseq","SI.TA.Cells"
"1099","SRR5102345.A01.htseq","SI.Stem"
"1541","NJA00103.C01.htseq","SI.TA.Cells"
"1100","SRR5103819.A01.htseq","SI.Stem"
"1101","SRR5102074.A01.htseq","SI.Stem"
"1844","NJA00103.D02.htseq","SI.Tuft.Cells"
"1542","SRR5102918.A01.htseq","SI.TA.Cells"
"627","NJA00102.E09.htseq","SI.Late.Enterocyte"
"1543","SRR5102787.A01.htseq","SI.TA.Cells"
"1102","SRR5102792.A01.htseq","SI.Stem"
"1103","SRR5102013.A01.htseq","SI.Stem"
"152","SRR5103491.A01.htseq","SI.Early.Enterocyte"
"1544","SRR5103111.A01.htseq","SI.TA.Cells"
"628","GFPneg.SI1.Singlet.2.E11.htseq","SI.Late.Enterocyte"
"1845","SRR5102801.A01.htseq","SI.Tuft.Cells"
"1846","SRR5103276.A01.htseq","SI.Tuft.Cells"
"1545","SRR5102416.A01.htseq","SI.TA.Cells"
"684","SRR5103657.A01.htseq","SI.Paneth"
"1104","SRR5102789.A01.htseq","SI.Stem"
"1847","SRR5103273.A01.htseq","SI.Tuft.Cells"
"1848","GFPneg.SI1.Singlet.2.E12.htseq","SI.Tuft.Cells"
"1546","GFPneg.SI1.Singlet.2.D4.htseq","SI.TA.Cells"
"1105","SRR5103208.A01.htseq","SI.Stem"
"1849","SRR5102919.A01.htseq","SI.Tuft.Cells"
"367","SRR5103117.A01.htseq","SI.Enterocyte.Progenitor"
"1106","SRR5103060.A01.htseq","SI.Stem"
"368","SRR5103625.A01.htseq","SI.Enterocyte.Progenitor"
"1107","SRR5102048.A01.htseq","SI.Stem"
"550","SRR5103820.A01.htseq","SI.Goblet"
"1108","SRR5102384.A01.htseq","SI.Stem"
"369","SRR5103840.A01.htseq","SI.Enterocyte.Progenitor"
"1109","SRR5102571.A01.htseq","SI.Stem"
"1547","SRR5102623.A01.htseq","SI.TA.Cells"
"1110","SRR5102791.A01.htseq","SI.Stem"
"1111","SRR5103527.A01.htseq","SI.Stem"
"1112","SRR5103064.A01.htseq","SI.Stem"
"1850","SRR5103281.A01.htseq","SI.Tuft.Cells"
"1548","SRR5102361.A01.htseq","SI.TA.Cells"
"1653","NJA00109.D07.htseq","C.Colonocytes"
"153","SRR5102803.A01.htseq","SI.Early.Enterocyte"
"1549","SRR5103535.A01.htseq","SI.TA.Cells"
"1550","SRR5103395.A01.htseq","SI.TA.Cells"
"1113","SRR5102372.A01.htseq","SI.Stem"
"1551","SRR5103653.A01.htseq","SI.TA.Cells"
"1552","SRR5103691.A01.htseq","SI.TA.Cells"
"1114","SRR5103549.A01.htseq","SI.Stem"
"1553","SRR5103773.A01.htseq","SI.TA.Cells"
"1851","SRR5102906.A01.htseq","SI.Tuft.Cells"
"1554","SRR5103698.A01.htseq","SI.TA.Cells"
"370","SRR5102620.A01.htseq","SI.Enterocyte.Progenitor"
"1555","SRR5103584.A01.htseq","SI.TA.Cells"
"1556","NJA00102.B05.htseq","SI.TA.Cells"
"1115","SRR5103651.A01.htseq","SI.Stem"
"1557","SRR5102805.A01.htseq","SI.TA.Cells"
"1116","SRR5102829.A01.htseq","SI.Stem"
"1117","SRR5103434.A01.htseq","SI.Stem"
"1118","SRR5102974.A01.htseq","SI.Stem"
"371","SRR5102381.A01.htseq","SI.Enterocyte.Progenitor"
"1755","NJA00109.F07.htseq","C.Stem"
"372","SRR5102688.A01.htseq","SI.Enterocyte.Progenitor"
"1558","SRR5103817.A01.htseq","SI.TA.Cells"
"551","SRR5103218.A01.htseq","SI.Goblet"
"1559","SRR5102107.A01.htseq","SI.TA.Cells"
"1560","SRR5102986.A01.htseq","SI.TA.Cells"
"1561","SRR5102782.A01.htseq","SI.TA.Cells"
"1562","NJA00104.G01.htseq","SI.TA.Cells"
"1756","GFPpos.C1.Singlet.4.C8.htseq","C.Stem"
"1563","SRR5103717.A01.htseq","SI.TA.Cells"
"685","SRR5103659.A01.htseq","SI.Paneth"
"686","SRR5102630.A01.htseq","SI.Paneth"
"1757","NJA00109.E06.htseq","C.Stem"
"373","SRR5102493.A01.htseq","SI.Enterocyte.Progenitor"
"1564","SRR5102448.A01.htseq","SI.TA.Cells"
"552","SRR5102349.A01.htseq","SI.Goblet"
"374","SRR5102886.A01.htseq","SI.Enterocyte.Progenitor"
"1119","SRR5102472.A01.htseq","SI.Stem"
"1120","SRR5102560.A01.htseq","SI.Stem"
"1121","SRR5103241.A01.htseq","SI.Stem"
"1694","GFPpos.C1.Singlet.4.E7.htseq","C.Goblet"
"1565","GFPneg.C1.Singlet.4.A1.htseq","SI.TA.Cells"
"154","SRR5102387.A01.htseq","SI.Early.Enterocyte"
"1122","SRR5102816.A01.htseq","SI.Stem"
"1566","SRR5102773.A01.htseq","SI.TA.Cells"
"1567","SRR5102076.A01.htseq","SI.TA.Cells"
"687","SRR5103483.A01.htseq","SI.Paneth"
"1568","SRR5103452.A01.htseq","SI.TA.Cells"
"1695","NJA00109.E03.htseq","C.Goblet"
"375","SRR5103011.A01.htseq","SI.Enterocyte.Progenitor"
"1654","NJA00109.D05.htseq","C.Colonocytes"
"1569","SRR5103396.A01.htseq","SI.TA.Cells"
"1123","SRR5102398.A01.htseq","SI.Stem"
"688","SRR5103371.A01.htseq","SI.Paneth"
"689","SRR5103785.A01.htseq","SI.Paneth"
"629","SRR5102404.A01.htseq","SI.Late.Enterocyte"
"155","SRR5102966.A01.htseq","SI.Early.Enterocyte"
"1124","SRR5103536.A01.htseq","SI.Stem"
"156","SRR5103332.A01.htseq","SI.Early.Enterocyte"
"1570","SRR5102997.A01.htseq","SI.TA.Cells"
"1125","SRR5102979.A01.htseq","SI.Stem"
"1126","SRR5102815.A01.htseq","SI.Stem"
"1127","SRR5102367.A01.htseq","SI.Stem"
"1128","SRR5103093.A01.htseq","SI.Stem"
"1696","NJA00109.C01.htseq","C.Goblet"
"157","SRR5103619.A01.htseq","SI.Early.Enterocyte"
"1571","SRR5103589.A01.htseq","SI.TA.Cells"
"1758","GFPneg.C1.Singlet.4.C1.htseq","C.Stem"
"690","SRR5103685.A01.htseq","SI.Paneth"
"1129","SRR5103040.A01.htseq","SI.Stem"
"428","SRR5102140.A01.htseq","SI.Enteroendocrine"
"1572","SRR5102778.A01.htseq","SI.TA.Cells"
"1573","GFPneg.SI1.Singlet.2.A1.htseq","SI.TA.Cells"
"1130","SRR5103433.A01.htseq","SI.Stem"
"1887","GFPneg.SI1.Singlet.2.D6.htseq","Blood.Cells"
"1759","NJA00109.D10.htseq","C.Stem"
"158","SRR5103718.A01.htseq","SI.Early.Enterocyte"
"1760","NJA00109.H04.htseq","C.Stem"
"1852","SRR5103473.A01.htseq","SI.Tuft.Cells"
"553","SRR5102790.A01.htseq","SI.Goblet"
"554","SRR5103603.A01.htseq","SI.Goblet"
"1131","SRR5102844.A01.htseq","SI.Stem"
"1132","SRR5103445.A01.htseq","SI.Stem"
"1574","SRR5103109.A01.htseq","SI.TA.Cells"
"1133","SRR5102925.A01.htseq","SI.Stem"
"1134","SRR5103441.A01.htseq","SI.Stem"
"1135","SRR5102840.A01.htseq","SI.Stem"
"1655","NJA00109.D04.htseq","C.Colonocytes"
"1136","SRR5102354.A01.htseq","SI.Stem"
"691","SRR5103369.A01.htseq","SI.Paneth"
"692","SRR5102847.A01.htseq","SI.Paneth"
"1761","NJA00109.F05.htseq","C.Stem"
"1575","SRR5103197.A01.htseq","SI.TA.Cells"
"1137","SRR5102865.A01.htseq","SI.Stem"
"1576","NJA00104.C10.htseq","SI.TA.Cells"
"1577","SRR5103168.A01.htseq","SI.TA.Cells"
"1578","SRR5103230.A01.htseq","SI.TA.Cells"
"1138","SRR5102702.A01.htseq","SI.Stem"
"1579","SRR5102051.A01.htseq","SI.TA.Cells"
"1139","SRR5103427.A01.htseq","SI.Stem"
"1853","SRR5102774.A01.htseq","SI.Tuft.Cells"
"376","SRR5102429.A01.htseq","SI.Enterocyte.Progenitor"
"1580","SRR5103233.A01.htseq","SI.TA.Cells"
"1140","SRR5102537.A01.htseq","SI.Stem"
"1141","SRR5103120.A01.htseq","SI.Stem"
"1142","SRR5102942.A01.htseq","SI.Stem"
"555","SRR5103839.A01.htseq","SI.Goblet"
"1143","SRR5103525.A01.htseq","SI.Stem"
"1144","SRR5103094.A01.htseq","SI.Stem"
"1581","SRR5102891.A01.htseq","SI.TA.Cells"
"630","NJA00102.A12.htseq","SI.Late.Enterocyte"
"377","SRR5102410.A01.htseq","SI.Enterocyte.Progenitor"
"556","SRR5102153.A01.htseq","SI.Goblet"
"1854","SRR5103470.A01.htseq","SI.Tuft.Cells"
"1582","SRR5102777.A01.htseq","SI.TA.Cells"
"378","SRR5102949.A01.htseq","SI.Enterocyte.Progenitor"
"379","SRR5102421.A01.htseq","SI.Enterocyte.Progenitor"
"380","SRR5102507.A01.htseq","SI.Enterocyte.Progenitor"
"159","SRR5103741.A01.htseq","SI.Early.Enterocyte"
"1855","SRR5103501.A01.htseq","SI.Tuft.Cells"
"381","SRR5102676.A01.htseq","SI.Enterocyte.Progenitor"
"160","SRR5103330.A01.htseq","SI.Early.Enterocyte"
"161","SRR5103304.A01.htseq","SI.Early.Enterocyte"
"382","SRR5103754.A01.htseq","SI.Enterocyte.Progenitor"
"1145","SRR5102101.A01.htseq","SI.Stem"
"1583","SRR5103746.A01.htseq","SI.TA.Cells"
"693","SRR5103372.A01.htseq","SI.Paneth"
"557","NJA00102.D05.htseq","SI.Goblet"
"558","SRR5102681.A01.htseq","SI.Goblet"
"383","SRR5102666.A01.htseq","SI.Enterocyte.Progenitor"
"1584","SRR5102821.A01.htseq","SI.TA.Cells"
"1585","NJA00104.C01.htseq","SI.TA.Cells"
"559","SRR5103714.A01.htseq","SI.Goblet"
"1586","SRR5102944.A01.htseq","SI.TA.Cells"
"694","SRR5103366.A01.htseq","SI.Paneth"
"1856","SRR5103253.A01.htseq","SI.Tuft.Cells"
"1888","NJA00102.B06.htseq","Blood.Cells"
"695","SRR5103677.A01.htseq","SI.Paneth"
"1587","SRR5102841.A01.htseq","SI.TA.Cells"
"162","NJA00104.B07.htseq","SI.Early.Enterocyte"
"1588","SRR5103524.A01.htseq","SI.TA.Cells"
"1146","SRR5102705.A01.htseq","SI.Stem"
"384","SRR5102896.A01.htseq","SI.Enterocyte.Progenitor"
"1589","SRR5103526.A01.htseq","SI.TA.Cells"
"560","SRR5102857.A01.htseq","SI.Goblet"
"1590","SRR5102392.A01.htseq","SI.TA.Cells"
"1591","SRR5103387.A01.htseq","SI.TA.Cells"
"1592","SRR5102640.A01.htseq","SI.TA.Cells"
"561","SRR5103674.A01.htseq","SI.Goblet"
"1147","SRR5102394.A01.htseq","SI.Stem"
"163","SRR5103221.A01.htseq","SI.Early.Enterocyte"
"1857","SRR5102897.A01.htseq","SI.Tuft.Cells"
"385","SRR5102374.A01.htseq","SI.Enterocyte.Progenitor"
"1593","SRR5103647.A01.htseq","SI.TA.Cells"
"1148","SRR5103515.A01.htseq","SI.Stem"
"1149","SRR5103098.A01.htseq","SI.Stem"
"386","SRR5103118.A01.htseq","SI.Enterocyte.Progenitor"
"1150","SRR5102727.A01.htseq","SI.Stem"
"164","SRR5103228.A01.htseq","SI.Early.Enterocyte"
"165","SRR5102413.A01.htseq","SI.Early.Enterocyte"
"429","SRR5103730.A01.htseq","SI.Enteroendocrine"
"1594","SRR5103594.A01.htseq","SI.TA.Cells"
"166","SRR5103844.A01.htseq","SI.Early.Enterocyte"
"1595","SRR5103508.A01.htseq","SI.TA.Cells"
"1656","NJA00109.A01.htseq","C.Colonocytes"
"1151","SRR5102575.A01.htseq","SI.Stem"
"1152","SRR5102628.A01.htseq","SI.Stem"
"631","NJA00102.E12.htseq","SI.Late.Enterocyte"
"167","SRR5102113.A01.htseq","SI.Early.Enterocyte"
"1596","SRR5102414.A01.htseq","SI.TA.Cells"
"1597","NJA00104.D05.htseq","SI.TA.Cells"
"1657","NJA00109.H07.htseq","C.Colonocytes"
"1153","SRR5102365.A01.htseq","SI.Stem"
"1762","NJA00109.G06.htseq","C.Stem"
"696","SRR5103261.A01.htseq","SI.Paneth"
"387","SRR5102401.A01.htseq","SI.Enterocyte.Progenitor"
"697","SRR5103688.A01.htseq","SI.Paneth"
"1598","SRR5103622.A01.htseq","SI.TA.Cells"
"1599","SRR5102960.A01.htseq","SI.TA.Cells"
"562","SRR5102724.A01.htseq","SI.Goblet"
"632","NJA00104.E04.htseq","SI.Late.Enterocyte"
"1154","SRR5102639.A01.htseq","SI.Stem"
"1600","SRR5102653.A01.htseq","SI.TA.Cells"
"1601","SRR5103432.A01.htseq","SI.TA.Cells"
"1602","NJA00102.B10.htseq","SI.TA.Cells"
"1155","SRR5102927.A01.htseq","SI.Stem"
"1603","SRR5102936.A01.htseq","SI.TA.Cells"
"1658","NJA00109.A12.htseq","C.Colonocytes"
"1156","SRR5102049.A01.htseq","SI.Stem"
"1157","SRR5102545.A01.htseq","SI.Stem"
"388","NJA00104.G12.htseq","SI.Enterocyte.Progenitor"
"698","SRR5103375.A01.htseq","SI.Paneth"
"1158","SRR5102718.A01.htseq","SI.Stem"
"1763","GFPneg.C1.Singlet.4.D3.htseq","C.Stem"
"168","SRR5103748.A01.htseq","SI.Early.Enterocyte"
"1858","SRR5102854.A01.htseq","SI.Tuft.Cells"
"389","SRR5103326.A01.htseq","SI.Enterocyte.Progenitor"
"169","SRR5103814.A01.htseq","SI.Early.Enterocyte"
"170","SRR5103796.A01.htseq","SI.Early.Enterocyte"
"1604","SRR5103786.A01.htseq","SI.TA.Cells"
"171","SRR5102461.A01.htseq","SI.Early.Enterocyte"
"1605","SRR5102423.A01.htseq","SI.TA.Cells"
"1606","SRR5103666.A01.htseq","SI.TA.Cells"
"1607","SRR5102817.A01.htseq","SI.TA.Cells"
"390","SRR5102510.A01.htseq","SI.Enterocyte.Progenitor"
"1697","GFPpos.C1.Singlet.4.B10.htseq","C.Goblet"
"1608","SRR5103693.A01.htseq","SI.TA.Cells"
"1889","NJA00102.H02.htseq","Blood.Cells"
"633","NJA00103.A09.htseq","SI.Late.Enterocyte"
"391","SRR5103777.A01.htseq","SI.Enterocyte.Progenitor"
"172","SRR5102137.A01.htseq","SI.Early.Enterocyte"
"1859","SRR5102909.A01.htseq","SI.Tuft.Cells"
"1159","SRR5103192.A01.htseq","SI.Stem"
"1860","SRR5103469.A01.htseq","SI.Tuft.Cells"
"173","SRR5103513.A01.htseq","SI.Early.Enterocyte"
"1609","SRR5103701.A01.htseq","SI.TA.Cells"
"699","SRR5103667.A01.htseq","SI.Paneth"
"563","SRR5103578.A01.htseq","SI.Goblet"
"1160","SRR5103133.A01.htseq","SI.Stem"
"1161","SRR5103363.A01.htseq","SI.Stem"
"1861","SRR5103481.A01.htseq","SI.Tuft.Cells"
"1610","SRR5102642.A01.htseq","SI.TA.Cells"
"1764","GFPneg.C1.Singlet.4.D2.htseq","C.Stem"
"1862","SRR5103259.A01.htseq","SI.Tuft.Cells"
"1863","SRR5102914.A01.htseq","SI.Tuft.Cells"
"1162","SRR5102810.A01.htseq","SI.Stem"
"392","SRR5102745.A01.htseq","SI.Enterocyte.Progenitor"
"393","SRR5102647.A01.htseq","SI.Enterocyte.Progenitor"
"634","GFPneg.SI1.Singlet.2.B4.htseq","SI.Late.Enterocyte"
"1163","SRR5103417.A01.htseq","SI.Stem"
"1164","NJA00104.C02.htseq","SI.Stem"
"1611","SRR5102698.A01.htseq","SI.TA.Cells"
"1612","SRR5103548.A01.htseq","SI.TA.Cells"
"1613","SRR5102965.A01.htseq","SI.TA.Cells"
"1165","SRR5102517.A01.htseq","SI.Stem"
"394","SRR5103235.A01.htseq","SI.Enterocyte.Progenitor"
"1765","SRR5103411.A01.htseq","C.Stem"
"174","SRR5103765.A01.htseq","SI.Early.Enterocyte"
"1614","SRR5102495.A01.htseq","SI.TA.Cells"
"395","SRR5103022.A01.htseq","SI.Enterocyte.Progenitor"
"1615","NJA00104.C12.htseq","SI.TA.Cells"
"1766","NJA00109.H03.htseq","C.Stem"
"1616","SRR5102379.A01.htseq","SI.TA.Cells"
"396","SRR5102626.A01.htseq","SI.Enterocyte.Progenitor"
"1166","SRR5102723.A01.htseq","SI.Stem"
"1617","NJA00104.H02.htseq","SI.TA.Cells"
"1618","NJA00104.E01.htseq","SI.TA.Cells"
"564","SRR5103784.A01.htseq","SI.Goblet"
"1890","GFPneg.SI1.Singlet.2.E1.htseq","Blood.Cells"
"565","SRR5102809.A01.htseq","SI.Goblet"
"1619","NJA00103.G11.htseq","SI.TA.Cells"
"1167","SRR5102872.A01.htseq","SI.Stem"
"1168","SRR5103044.A01.htseq","SI.Stem"
"397","SRR5102455.A01.htseq","SI.Enterocyte.Progenitor"
"1620","SRR5102952.A01.htseq","SI.TA.Cells"
"1621","SRR5103529.A01.htseq","SI.TA.Cells"
"1698","NJA00109.E01.htseq","C.Goblet"
"1622","SRR5102669.A01.htseq","SI.TA.Cells"
"1623","GFPneg.SI1.Singlet.2.F2.htseq","SI.TA.Cells"
"566","SRR5103009.A01.htseq","SI.Goblet"
"1169","SRR5103538.A01.htseq","SI.Stem"
"175","SRR5103338.A01.htseq","SI.Early.Enterocyte"
"1864","NJA00104.C04.htseq","SI.Tuft.Cells"
"1170","SRR5103381.A01.htseq","SI.Stem"
"1171","SRR5102716.A01.htseq","SI.Stem"
"1172","SRR5103054.A01.htseq","SI.Stem"
"1173","SRR5103769.A01.htseq","SI.Stem"
"1624","SRR5102480.A01.htseq","SI.TA.Cells"
"1625","SRR5102665.A01.htseq","SI.TA.Cells"
"1174","SRR5102540.A01.htseq","SI.Stem"
"398","SRR5103293.A01.htseq","SI.Enterocyte.Progenitor"
"430","SRR5102648.A01.htseq","SI.Enteroendocrine"
"176","SRR5103637.A01.htseq","SI.Early.Enterocyte"
"1626","SRR5103615.A01.htseq","SI.TA.Cells"
"1175","SRR5103059.A01.htseq","SI.Stem"
"1176","SRR5103711.A01.htseq","SI.Stem"
"567","SRR5103577.A01.htseq","SI.Goblet"
"177","SRR5102418.A01.htseq","SI.Early.Enterocyte"
"1627","SRR5103285.A01.htseq","SI.TA.Cells"
"1177","SRR5102136.A01.htseq","SI.Stem"
"1628","SRR5102700.A01.htseq","SI.TA.Cells"
"1178","SRR5102848.A01.htseq","SI.Stem"
"1865","SRR5102902.A01.htseq","SI.Tuft.Cells"
"700","SRR5102616.A01.htseq","SI.Paneth"
"178","SRR5102996.A01.htseq","SI.Early.Enterocyte"
"1179","SRR5102696.A01.htseq","SI.Stem"
"399","SRR5103296.A01.htseq","SI.Enterocyte.Progenitor"
"1629","SRR5102709.A01.htseq","SI.TA.Cells"
"1180","SRR5103229.A01.htseq","SI.Stem"
"1181","SRR5102425.A01.htseq","SI.Stem"
"400","SRR5103474.A01.htseq","SI.Enterocyte.Progenitor"
"1866","SRR5102908.A01.htseq","SI.Tuft.Cells"
"1867","SRR5103459.A01.htseq","SI.Tuft.Cells"
