"","Samples","class"
"1781","SRR5102904.A01.htseq","SI.Tuft.Cells"
"32","SRR5103166.A01.htseq","SI.Early.Enterocyte"
"217","SRR5102812.A01.htseq","SI.Enterocyte.Progenitor"
"218","SRR5103298.A01.htseq","SI.Enterocyte.Progenitor"
"771","SRR5103410.A01.htseq","SI.Stem"
"1245","SRR5102814.A01.htseq","SI.TA.Cells"
"1246","SRR5102636.A01.htseq","SI.TA.Cells"
"772","SRR5102800.A01.htseq","SI.Stem"
"1782","SRR5102915.A01.htseq","SI.Tuft.Cells"
"1708","GFPneg.C1.Singlet.4.B2.htseq","C.Stem"
"33","SRR5103575.A01.htseq","SI.Early.Enterocyte"
"219","SRR5102674.A01.htseq","SI.Enterocyte.Progenitor"
"1633","NJA00109.F02.htseq","C.Colonocytes"
"773","SRR5103081.A01.htseq","SI.Stem"
"34","SRR5103849.A01.htseq","SI.Early.Enterocyte"
"403","SRR5102147.A01.htseq","SI.Enteroendocrine"
"220","NJA00103.E03.htseq","SI.Enterocyte.Progenitor"
"1247","SRR5102755.A01.htseq","SI.TA.Cells"
"578","GFPneg.SI1.Singlet.2.E7.htseq","SI.Late.Enterocyte"
"1248","SRR5103596.A01.htseq","SI.TA.Cells"
"579","GFPneg.SI1.Singlet.2.C12.htseq","SI.Late.Enterocyte"
"1664","NJA00109.C03.htseq","C.Goblet"
"774","SRR5103401.A01.htseq","SI.Stem"
"580","SRR5102357.A01.htseq","SI.Late.Enterocyte"
"775","SRR5102600.A01.htseq","SI.Stem"
"1249","SRR5102976.A01.htseq","SI.TA.Cells"
"776","SRR5102691.A01.htseq","SI.Stem"
"1250","SRR5102839.A01.htseq","SI.TA.Cells"
"1251","SRR5103053.A01.htseq","SI.TA.Cells"
"457","SRR5103623.A01.htseq","SI.Goblet"
"777","SRR5103815.A01.htseq","SI.Stem"
"646","SRR5103173.A01.htseq","SI.Paneth"
"778","SRR5102589.A01.htseq","SI.Stem"
"1252","NJA00103.D05.htseq","SI.TA.Cells"
"1783","SRR5103262.A01.htseq","SI.Tuft.Cells"
"1253","SRR5103463.A01.htseq","SI.TA.Cells"
"221","SRR5102344.A01.htseq","SI.Enterocyte.Progenitor"
"1665","NJA00109.F08.htseq","C.Goblet"
"779","SRR5103533.A01.htseq","SI.Stem"
"780","NJA00104.F05.htseq","SI.Stem"
"1784","SRR5103471.A01.htseq","SI.Tuft.Cells"
"1785","SRR5103472.A01.htseq","SI.Tuft.Cells"
"781","SRR5102590.A01.htseq","SI.Stem"
"782","SRR5103531.A01.htseq","SI.Stem"
"35","SRR5102445.A01.htseq","SI.Early.Enterocyte"
"1254","SRR5102467.A01.htseq","SI.TA.Cells"
"1255","SRR5103232.A01.htseq","SI.TA.Cells"
"1256","SRR5103223.A01.htseq","SI.TA.Cells"
"1786","SRR5102921.A01.htseq","SI.Tuft.Cells"
"222","SRR5102397.A01.htseq","SI.Enterocyte.Progenitor"
"36","SRR5103735.A01.htseq","SI.Early.Enterocyte"
"1257","SRR5102751.A01.htseq","SI.TA.Cells"
"783","SRR5102500.A01.htseq","SI.Stem"
"223","NJA00102.D04.htseq","SI.Enterocyte.Progenitor"
"784","SRR5102683.A01.htseq","SI.Stem"
"37","SRR5102422.A01.htseq","SI.Early.Enterocyte"
"785","SRR5102473.A01.htseq","SI.Stem"
"1787","SRR5102877.A01.htseq","SI.Tuft.Cells"
"786","SRR5102650.A01.htseq","SI.Stem"
"1709","GFPneg.C1.Singlet.4.F4.htseq","C.Stem"
"1258","SRR5102828.A01.htseq","SI.TA.Cells"
"787","SRR5102742.A01.htseq","SI.Stem"
"1259","NJA00103.H07.htseq","SI.TA.Cells"
"1260","SRR5102346.A01.htseq","SI.TA.Cells"
"38","SRR5102082.A01.htseq","SI.Early.Enterocyte"
"1261","GFPneg.SI1.Singlet.2.D1.htseq","SI.TA.Cells"
"224","SRR5102363.A01.htseq","SI.Enterocyte.Progenitor"
"225","SRR5102028.A01.htseq","SI.Enterocyte.Progenitor"
"458","SRR5103278.A01.htseq","SI.Goblet"
"1262","SRR5103438.A01.htseq","SI.TA.Cells"
"226","SRR5101959.A01.htseq","SI.Enterocyte.Progenitor"
"227","SRR5101984.A01.htseq","SI.Enterocyte.Progenitor"
"788","SRR5101971.A01.htseq","SI.Stem"
"789","SRR5103428.A01.htseq","SI.Stem"
"647","SRR5103658.A01.htseq","SI.Paneth"
"1263","NJA00103.E06.htseq","SI.TA.Cells"
"228","SRR5102631.A01.htseq","SI.Enterocyte.Progenitor"
"1264","SRR5103834.A01.htseq","SI.TA.Cells"
"1871","GFPpos.C1.Singlet.4.E10.htseq","Blood.Cells"
"790","SRR5103066.A01.htseq","SI.Stem"
"1788","SRR5102911.A01.htseq","SI.Tuft.Cells"
"791","SRR5102682.A01.htseq","SI.Stem"
"229","SRR5102525.A01.htseq","SI.Enterocyte.Progenitor"
"39","SRR5102411.A01.htseq","SI.Early.Enterocyte"
"792","SRR5103114.A01.htseq","SI.Stem"
"459","SRR5103709.A01.htseq","SI.Goblet"
"793","SRR5103167.A01.htseq","SI.Stem"
"40","NJA00104.B11.htseq","SI.Early.Enterocyte"
"794","SRR5102592.A01.htseq","SI.Stem"
"795","SRR5102132.A01.htseq","SI.Stem"
"1666","NJA00109.G02.htseq","C.Goblet"
"1789","SRR5103191.A01.htseq","SI.Tuft.Cells"
"796","SRR5102561.A01.htseq","SI.Stem"
"1265","SRR5102673.A01.htseq","SI.TA.Cells"
"1266","SRR5103030.A01.htseq","SI.TA.Cells"
"1267","NJA00103.G05.htseq","SI.TA.Cells"
"797","SRR5102768.A01.htseq","SI.Stem"
"798","SRR5102864.A01.htseq","SI.Stem"
"799","SRR5103076.A01.htseq","SI.Stem"
"1710","GFPneg.C1.Singlet.4.E4.htseq","C.Stem"
"800","SRR5103125.A01.htseq","SI.Stem"
"1268","SRR5102564.A01.htseq","SI.TA.Cells"
"801","SRR5103136.A01.htseq","SI.Stem"
"1711","GFPneg.C1.Singlet.4.G6.htseq","C.Stem"
"1269","SRR5102557.A01.htseq","SI.TA.Cells"
"1270","NJA00103.F11.htseq","SI.TA.Cells"
"802","SRR5103122.A01.htseq","SI.Stem"
"803","SRR5103008.A01.htseq","SI.Stem"
"404","NJA00109.B02.htseq","SI.Enteroendocrine"
"581","SRR5102431.A01.htseq","SI.Late.Enterocyte"
"1271","SRR5103644.A01.htseq","SI.TA.Cells"
"41","SRR5102420.A01.htseq","SI.Early.Enterocyte"
"230","SRR5102795.A01.htseq","SI.Enterocyte.Progenitor"
"648","SRR5103169.A01.htseq","SI.Paneth"
"460","SRR5103170.A01.htseq","SI.Goblet"
"804","SRR5103149.A01.htseq","SI.Stem"
"1272","SRR5103860.A01.htseq","SI.TA.Cells"
"1273","SRR5103700.A01.htseq","SI.TA.Cells"
"805","SRR5102546.A01.htseq","SI.Stem"
"806","SRR5103424.A01.htseq","SI.Stem"
"1274","SRR5103516.A01.htseq","SI.TA.Cells"
"1275","SRR5103158.A01.htseq","SI.TA.Cells"
"807","SRR5103088.A01.htseq","SI.Stem"
"808","SRR5102161.A01.htseq","SI.Stem"
"582","SRR5102477.A01.htseq","SI.Late.Enterocyte"
"809","SRR5102542.A01.htseq","SI.Stem"
"810","SRR5102360.A01.htseq","SI.Stem"
"231","SRR5103794.A01.htseq","SI.Enterocyte.Progenitor"
"583","SRR5102097.A01.htseq","SI.Late.Enterocyte"
"1790","SRR5102899.A01.htseq","SI.Tuft.Cells"
"811","NJA00104.E05.htseq","SI.Stem"
"1276","SRR5102613.A01.htseq","SI.TA.Cells"
"405","SRR5102835.A01.htseq","SI.Enteroendocrine"
"461","GFPneg.C1.Singlet.4.C3.htseq","SI.Goblet"
"232","SRR5103804.A01.htseq","SI.Enterocyte.Progenitor"
"812","SRR5103090.A01.htseq","SI.Stem"
"462","SRR5103224.A01.htseq","SI.Goblet"
"1277","SRR5103755.A01.htseq","SI.TA.Cells"
"813","SRR5102343.A01.htseq","SI.Stem"
"1278","SRR5102450.A01.htseq","SI.TA.Cells"
"1667","NJA00109.E10.htseq","C.Goblet"
"814","NJA00104.F02.htseq","SI.Stem"
"815","SRR5102022.A01.htseq","SI.Stem"
"816","SRR5102165.A01.htseq","SI.Stem"
"649","SRR5103679.A01.htseq","SI.Paneth"
"1279","SRR5102933.A01.htseq","SI.TA.Cells"
"233","SRR5103629.A01.htseq","SI.Enterocyte.Progenitor"
"234","SRR5102432.A01.htseq","SI.Enterocyte.Progenitor"
"650","SRR5103680.A01.htseq","SI.Paneth"
